Factor,Category (Code),Sample Size (Male - 1),Sample Size (Female - 2),Sample Size (Other - 3)
Age in years,16–24 years (1),197,419,9
Age in years,25–34 years (2),594,694,12
Age in years,35–54 years (3),1429,1256,9
Age in years,55–64 years (4),826,589,2
Age in years,65+ years (5),1057,851,0
Income,<$50k (1),839,1000,12
Income,$50–60k (2),346,432,4
Income,$60–70k (3),389,332,1
Income,$70–80k (4),283,263,0
Income,$80–90k (5),326,273,3
Income,$90–100k (6),357,312,3
Income,$100–150k (7),944,743,5
Income,$150k+ (8),619,454,4
Education,No certificate (1),84,107,2
Education,High school (2),690,705,9
Education,Apprenticeship/Trades (3),362,197,2
Education,College/CEGEP (4),914,1047,8
Education,University < bachelor (5),375,365,5
Education,University ≥ bachelor (6),1678,1388,6
